Card Compatibility,,Regular Dinos,,,,,"Special Dinos (Armored, Alpha, Super, etc.)",,,,,,Dinosaurs with built-in moves,,,,,,
ODR = Operation Dino Rescue,Card,Type,Compatibility,Code,,Card,Type,Compatibility,Code,Armor Code,,Card,Type,Compatibility,Code,Armor Code,Rock,Paper,Scissors
AF = Alpha Fortress,Parasaurolophus,Defense,ODR,SEGA25DJBVN8,,Paris,Super Counter,AF,SEGAEQ0BBZ2B,N/A,,Paris (With Zoe),Recovery,JPN,SEGA2JC84WGQ,N/A,Two Platoon Crush,Metal Wing,Emerald Garden
JPN = Japanese Game,Parasaurolophus,Crisis,AF,SEGAJIQWOU02,,Paris,Recovery,JPN,SEGAE5S16MYP,N/A,,Alpha Iguanodon (With Ursula),Blunder/Impact,JPN,SEGANWXDA7X8,N/A,Alpha Missile,Archaeopteryx Charm,Quick Strike
Card codes found by Anvil,Parasaurolophus,Blitz,JPN,SEGAFU05UIFX,,Paris,Rock-Rock,JPN,SEGASEE6DU6Y,N/A,,Super Paris (With Zoe),Super,JPN,SEGALAGP0K0M,N/A,Two Platoon Crush,Dino Force,Thorn Whip
* Only in an older version,Saurolophus,Blitz,AF,SEGA8VMI8KAK,,Dinotector Paris,Recovery,JPN,SEGA40AXMG7Z,SEGAF4PA70FR,,Anatotitan (With Zoe),Heroic,JPN,SEGAGIKKRLQB,N/A,Nature's Blessing,Green Impulse,Big Foot Assault
,Saurolophus,Revival,AF,SEGA3KZ9COJV,,Dinotector Paris,Rock-Rock,JPN,SEGAHDCK5BGL,SEGAF4PA70FR,,Shantungosaurus (With Dr. Taylor),Defense,JPN,SEGAGQ6F6DUX,N/A,Skydive,Stun Dash,Triple Headbutt
,Saurolophus,Paper-Paper,JPN,SEGAL47FFGND,,Dinotector Parasaurolophus,Rock-Rock,JPN,SEGA5DB01HF0,SEGAF4PA70FR,,Super Parasaurlophus (With Zoe),Super,JPN,SEGATVRJXWKO,N/A,Dino Force,Green Impulse,Thorn Whip
,Saurolophus,Tie,JPN,SEGAIQT96EAF,,Alpha Iguanodon,Poison,JPN,SEGAFP074C5P,N/A,,Olorotitan (With Zoe),Tie Recovery,JPN,SEGAVZOYZDFX,N/A,Defense Boost,Metal Wing,Thorn Whip
,Lambeosaurus Magnicristatus,Willpower,JPN,SEGALRFYWSRP,,Alpha Iguanodon,Blunder/Impact,JPN,SEGAK6J9JQ8B,N/A,,Lanzhousaurus (With Dr. Taylor),Rock-Rock,JPN,SEGAM0NZ2D0N,N/A,Egg Attack,Tapejara Dive,Thorn Whip
,Lambeosaurus Magnicristatus,Blunder/Impact,JPN,SEGAWJQTZFBT,,Alpha Ouranosaurus,Attack,ODR,SEGA4W8UJ3L2,N/A,,Edmontosaurus (With Ursula),Paper-Paper,JPN,SEGAXTDN3HRG,N/A,Dino Stuffer,Softening Beam,Big Foot Assault
,Lambeosaurus,Tie,ODR,SEGAYHJ8JKL0,,Alpha Ouranosaurus,Poison,JPN,SEGABI150950,N/A,,,,,,,,,
,Lambeosaurus,Charge,AF,SEGAOFB1X2G1,,Super Parasaurolophus,Super,JPN,SEGA3QDNT6Z0,N/A,,,,,,,,,
,Lambeosaurus,Heroic,JPN,SEGA6BKWPXBH,,Super Altirhinus,Super,JPN,SEGAYMAV9RP0,N/A,,,,,,,,,
,Lambeosaurus,Paper-Paper,JPN,SEGAA4SWF0WQ,,Super Shantungosaurus,Super,JPN,SEGARNTJKN0Q,N/A,,,,,,,,,
,Altirhinus,Crisis,AF,SEGA39DVTFPO,,Super Corythosaurus,Super,JPN,SEGACFL0JY9S,N/A,,,,,,,,,
,Altirhinus,Tie,JPN,SEGA79E19VYW,,Super Tsintaosaurus,Super,JPN,SEGAMJD7UJL4,N/A,,,,,,,,,
,Charonosaurus,Hunter,AF,SEGA3U4JSNYN,,Super Muttaburasaurus,Super,JPN,SEGA62GH92BE,N/A,,,,,,,,,
,Prosaurolophus,Recovery,JPN,SEGASLFAW6J7,,Super Paris,Super,JPN,SEGAX9RW0REU,N/A,,,,,,,,,
,Prosaurolophus,Revival,JPN,SEGAHSMPPGQN,,,,,,,,,,,,,,,
,Lanzhousaurus,Lucky 7,JPN,SEGA6IALKIOF,,,,,,,,,,,,,,,
,Lanzhousaurus,Rock-Rock,JPN,SEGAYSC7HGMN,,,,,,,,,,,,,,,
,Lanzhousaurus,Revival,JPN,SEGA5JW0J446,,,,,,,,,,,,,,,
,Shantungosaurus,Attack,ODR,SEGARJK2YGS9,,,,,,,,,,,,,,,
,Shantungosaurus,Counter,AF,SEGAGRQ7RVWY,,,,,,,,,,,,,,,
,Shantungosaurus,Defense,JPN,SEGA61Y0B4QH,,,,,,,,,,,,,,,
,Anatotitan,Heroic,AF,SEGA7Y8P9VX6,,,,,,,,,,,,,,,
,Anatotitan,Attack,JPN,SEGAW9S5MT7W,,,,,,,,,,,,,,,
,Anatotitan,Tie Recovery,JPN,SEGACTJO1S0S,,,,,,,,,,,,,,,
,Olorotitan,Recovery,JPN,SEGAL6VWILT5,,,,,,,,,,,,,,,
,Olorotitan,Tie Recovery,JPN,SEGAQXJ9F80R,,,,,,,,,,,,,,,
,Maiasaura,Tie,ODR,SEGASVRNBK17,,,,,,,,,,,,,,,
,Maiasaura,Crisis*/Charge,AF,SEGAJAF0UYWH,,,,,,,,,,,,,,,
,Maiasaura,Revival,AF,SEGAAIOK0WK8,,,,,,,,,,,,,,,
,Maiasaura,Blitz,JPN,SEGA1YHCJ9UJ,,,,,,,,,,,,,,,
,Maiasaura,Tie Recovery,JPN,SEGANHKKJGEC,,,,,,,,,,,,,,,
,Iguanodon,Attack,ODR,SEGAU9JBRVB5,,,,,,,,,,,,,,,
,Iguanodon,Blitz,AF,SEGA3O0PTOIU,,,,,,,,,,,,,,,
,Iguanodon,Revival,AF,SEGALFNC6NIP,,,,,,,,,,,,,,,
,Iguanodon,Defense,JPN,SEGAQW1B1VYS,,,,,,,,,,,,,,,
,Corythosaurus,Counter,AF,SEGA1HPY2WVV,,,,,,,,,,,,,,,
,Corythosaurus,Attack,JPN,SEGAIJG5GNVQ,,,,,,,,,,,,,,,
,Edmontosaurus,Reform,JPN,SEGA8NXLW17I,,,,,,,,,,,,,,,
,Edmontosaurus,Paper-Paper,JPN,SEGAG7PVAASA,,,,,,,,,,,,,,,
,Edmontosaurus,Revival,JPN,SEGAI0HW6DAU,,,,,,,,,,,,,,,
,Tsintaosaurus,Defense,ODR,SEGAT8FDC1V5,,,,,,,,,,,,,,,
,Tsintaosaurus,Counter,AF,SEGAWETV364B,,,,,,,,,,,,,,,
,Tsintaosaurus,Hunter,JPN,SEGAONDMC0LT,,,,,,,,,,,,,,,
,Cartoon Tsintaosaurus,Tie Recovery,JPN,SEGAITBY5YS0,,,,,,,,,,,,,,,
,Fukuisaurus,Defense,ODR,SEGAS1R4GUTG,,,,,,,,,,,,,,,
,Fukuisaurus,Crisis,AF,SEGAVT796Q6F,,,,,,,,,,,,,,,
,Fukuisaurus,Revival,AF,SEGAH57IGOMI,,,,,,,,,,,,,,,
,Brachylophosaurus,Strength,JPN,SEGAYR9EPNYT,,,,,,,,,,,,,,,
,Brachylophosaurus,Lethal,JPN,SEGAZJGS1RUV,,,,,,,,,,,,,,,
,Ouranosaurus,Attack,ODR,SEGA31BKKOS3,,,,,,,,,,,,,,,
,Ouranosaurus,Heroic,AF,SEGAWLUQSUY6,,,,,,,,,,,,,,,
,Ouranosaurus,Blitz,JPN,SEGAUO6ZTKSO,,,,,,,,,,,,,,,
,Ouranosaurus,Blunder/Impact,JPN,SEGAADI84AS9,,,,,,,,,,,,,,,
,Muttaburasaurus,Hunter,AF,SEGAUGF4DXZ9,,,,,,,,,,,,,,,
,Muttaburasaurus,Tie,JPN,SEGARGW6XPHE,,,,,,,,,,,,,,,
,Camptosaurus,Reform,JPN,SEGA5LANM6E1,,,,,,,,,,,,,,,
,Camptosaurus,Revival,JPN,SEGAP0DL4NP3,,,,,,,,,,,,,,,
,Paris,Super Counter,AF,SEGAEQ0BBZ2B,N/A,,,,,,,,,,,,,,
,Paris,Recovery,JPN,SEGAE5S16MYP,N/A,,,,,,,,,,,,,,
,Paris,Rock-Rock,JPN,SEGASEE6DU6Y,N/A,,,,,,,,,,,,,,
,Dinotector Paris,Recovery,JPN,SEGA40AXMG7Z,SEGAF4PA70FR,,,,,,,,,,,,,,
,Dinotector Paris,Rock-Rock,JPN,SEGAHDCK5BGL,SEGAF4PA70FR,,,,,,,,,,,,,,
,Dinotector Parasaurolophus,Rock-Rock,JPN,SEGA5DB01HF0,SEGAF4PA70FR,,,,,,,,,,,,,,
,Alpha Iguanodon,Poison,JPN,SEGAFP074C5P,N/A,,,,,,,,,,,,,,
,Alpha Iguanodon,Blunder/Impact,JPN,SEGAK6J9JQ8B,N/A,,,,,,,,,,,,,,
,Alpha Ouranosaurus,Attack,ODR,SEGA4W8UJ3L2,N/A,,,,,,,,,,,,,,
,Alpha Ouranosaurus,Poison,JPN,SEGABI150950,N/A,,,,,,,,,,,,,,
,Super Parasaurolophus,Super,JPN,SEGA3QDNT6Z0,N/A,,,,,,,,,,,,,,
,Super Altirhinus,Super,JPN,SEGAYMAV9RP0,N/A,,,,,,,,,,,,,,
,Super Shantungosaurus,Super,JPN,SEGARNTJKN0Q,N/A,,,,,,,,,,,,,,
,Super Corythosaurus,Super,JPN,SEGACFL0JY9S,N/A,,,,,,,,,,,,,,
,Super Tsintaosaurus,Super,JPN,SEGAMJD7UJL4,N/A,,,,,,,,,,,,,,
,Super Muttaburasaurus,Super,JPN,SEGA62GH92BE,N/A,,,,,,,,,,,,,,
,Super Paris,Super,JPN,SEGAX9RW0REU,N/A,,,,,,,,,,,,,,
,Paris (With Zoe),Recovery,JPN,SEGA2JC84WGQ,N/A,Two Platoon Crush,Metal Wing,Emerald Garden,,,,,,,,,,,
,Alpha Iguanodon (With Ursula),Blunder/Impact,JPN,SEGANWXDA7X8,N/A,Alpha Missile,Archaeopteryx Charm,Quick Strike,,,,,,,,,,,
,Super Paris (With Zoe),Super,JPN,SEGALAGP0K0M,N/A,Two Platoon Crush,Dino Force,Thorn Whip,,,,,,,,,,,
,Anatotitan (With Zoe),Heroic,JPN,SEGAGIKKRLQB,N/A,Nature's Blessing,Green Impulse,Big Foot Assault,,,,,,,,,,,
,Shantungosaurus (With Dr. Taylor),Defense,JPN,SEGAGQ6F6DUX,N/A,Skydive,Stun Dash,Triple Headbutt,,,,,,,,,,,
,Super Parasaurlophus (With Zoe),Super,JPN,SEGATVRJXWKO,N/A,Dino Force,Green Impulse,Thorn Whip,,,,,,,,,,,
,Olorotitan (With Zoe),Tie Recovery,JPN,SEGAVZOYZDFX,N/A,Defense Boost,Metal Wing,Thorn Whip,,,,,,,,,,,
,Lanzhousaurus (With Dr. Taylor),Rock-Rock,JPN,SEGAM0NZ2D0N,N/A,Egg Attack,Tapejara Dive,Thorn Whip,,,,,,,,,,,
